區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
梧棲區,0,167.11,11,無,1010,0.928861405
北屯區,26,113.3,7,無,530,0.139598369
西屯區,26,100.94,7,無,636,0.83405043
南屯區,2,228.91,7,有,2200,0.521660476
西屯區,24,137.73,7,有,830,0.836012617
外埔區,0,132.93,6,無,510,0.252494213
西區,53,111.72,7,無,2158,0.439964891
西屯區,0,130.42,6,有,1007,0.518702118
大里區,0,90.72,4,有,730,0.744655306
南屯區,0,157.81,7,有,966,0.106029844
大里區,0,98.48,6,有,1080,0.106371672
龍井區,0,159.08,10,無,658,0.677598103
北屯區,0,124.31,4,有,856,0.354972361
太平區,41,103.96,8,無,780,0.552087454
南屯區,5,370.06,8,有,2650,0.702464918
大里區,27,258.57,18,無,1010,0.980445983
北屯區,28,186.04,7,有,1950,0.95009449
北屯區,7,251.28,8,有,1680,0.267124524
潭子區,4,93.8,5,有,640,0.831389348
北屯區,0,156.62,7,有,893,0.52123088
潭子區,0,166.64,7,有,1100,0.214042005
西區,25,144.25,7,有,850,0.904370481
大安區,39,101.88,11,無,300,0.997443356
西屯區,0,691.26,12,有,12325,0.298178525
南屯區,0,152.86,7,有,950,0.491213092
北屯區,0,178.92,7,有,1086,0.450638236
北區,0,94.85,21,無,1086,0.882356174
北屯區,0,403.01,12,有,4338,0.370385867
西屯區,28,223.61,7,有,900,0.516189973
南屯區,0,350.67,9,有,3980,0.682233631
西屯區,0,123.43,5,有,1050,0.296082261
沙鹿區,39,82.55,6,無,398,0.637464927
清水區,12,164.11,7,有,450,0.292378327
南屯區,0,137.41,6,有,795,0.272383464
大里區,5,169.09,7,有,730,0.242791973
大雅區,27,160.91,9,無,822,0.842901593
南屯區,17,250.61,10,有,2430,0.997305697
西屯區,1,127.94,6,有,1039.6,0.840504376
沙鹿區,0,110.02,5,有,670,0.245690575
北區,40,65.31,6,無,270,0.811010164
南屯區,0,156.71,7,有,878,0.827804567
西屯區,8,200.86,10,無,2300,0.022930411
北屯區,0,130.55,5,有,895,0.625727265
太平區,26,139.53,7,無,548,0.155785997
大里區,40,168.42,10,無,1138,0.604253007
大里區,29,178,13,無,1188,0.291061843
大里區,28,112.79,7,無,528,0.911614448
南區,0,120.84,5,有,710,0.895990165
清水區,0,181.52,7,有,800,0.731627723
豐原區,27,97.78,7,無,396,0.58575738
清水區,0,106.52,5,無,465,0.266140268
太平區,0,190.45,10,無,1300,0.528833931
沙鹿區,0,131.39,5,有,670,0.388357892
南區,34,139.56,13,無,490,0.833784382
北區,38,91.39,12,無,325,0.235942816
烏日區,0,123.72,5,有,700,0.902381155
清水區,0,123.59,8,無,658,0.882534888
豐原區,21,109.43,6,有,539,0.40862987
潭子區,24,125.64,7,有,625,0.660454956
西屯區,2,88.92,4,有,800,0.20198175
北屯區,0,174.91,7,有,1253,0.83904971
龍井區,0,171.22,9,無,1068,0.418494564
大里區,0,169.93,7,有,1000,0.563606432
南屯區,0,136.92,6,有,769,0.690944026
西屯區,27,23.84,3,無,138,0.023771239
豐原區,21,93.8,7,無,443,0.749545083
北屯區,15,218.66,10,無,1620,0.547982256
北屯區,28,111.98,7,有,568,0.885760357
北屯區,4,147.36,7,有,859,0.356293508
太平區,25,121.5,7,有,460,0.582852314
北屯區,0,227.45,8,有,1454,0.0001658
石岡區,1,176.82,9,無,1150,0.175837944
東區,53,127.86,8,無,1200,0.082433148
南區,0,144.64,10,無,2952.4,0.283219943
南屯區,3,241.81,7,有,2708,0.143299156
西屯區,0,174.41,7,有,1415,0.114284925
北區,3,139.69,7,有,1050,0.575643489
潭子區,2,169.28,6,有,1100,0.03969898
西屯區,27,105.7,6,有,356,0.106927413
北屯區,1,126.73,4,有,858,0.904773205
南屯區,3,280.07,7,有,2570,0.813514263
大里區,29,47.88,4,無,195,0.899321802
北區,40,24.57,3,無,190,0.891614239
梧棲區,2,413.62,20,無,1700,0.745374962
西屯區,0,259.04,8,有,1943,0.024190749
南屯區,0,149.37,7,有,1598,0.264440329
大雅區,0,151.86,10,無,1250,0.174345825
豐原區,12,122.67,7,有,750,0.349042728
清水區,0,153.21,7,有,560,0.40959226
西區,23,352.77,13,有,1950,0.035457172
龍井區,1,163.51,7,有,890,0.896980623
西屯區,0,91.99,5,有,978,0.695570989
大里區,6,102.73,5,無,726,0.178490515
西屯區,0,128.34,5,有,1065,0.384060027
西屯區,13,91.12,3,有,690,0.685702876
大里區,0,79.77,3,有,520,0.361230154
大雅區,0,208.12,10,無,1420,0.512865592
北區,4,175.1,7,有,1350,0.380129627
大雅區,15,160.94,9,無,1235,0.001845524
大里區,0,137.69,5,有,770,0.987781353
南屯區,13,97.23,7,無,750,0.583502906
西區,30,24.15,3,無,180,0.479546715
南屯區,0,136.26,6,有,788,0.875987199
北區,39,22.43,3,無,120,0.220677034
太平區,27,142.04,7,有,390,0.437251536
大里區,0,95.15,5,無,611,0.144984323
太平區,3,170.39,7,有,1200,0.839291709
西屯區,0,90.91,5,有,938,0.366707405
南屯區,0,98.79,3,有,731,0.147207293
北屯區,0,116.97,5,有,531,0.521838323
南屯區,26,117.08,7,有,750,0.093033763
大肚區,5,154.56,6,有,790,0.564148477
北屯區,0,131.82,5,有,1085,0.24105958
北屯區,31,89.69,7,無,420,0.718289383
北屯區,7,150.59,7,有,888,0.427773453
大里區,32,91.68,7,無,460,0.326919237
東區,31,98.68,6,無,442,0.947294116
北區,24,116.93,7,無,596,0.787910103
西屯區,22,108.23,7,無,718,0.89440594
烏日區,4,216.94,8,有,1100,0.895496482
大肚區,38,73.16,6,無,250,0.126439082
清水區,0,120.05,4,有,522.54,0.775115918
太平區,25,80.96,6,無,410,0.810034294
梧棲區,2,107.49,6,有,525,0.492969137
東區,0,159.11,7,有,1088,0.102184795
西區,36,197.07,8,有,900,0.648311389
南區,0,100.24,8,無,1280,0.331719758
太平區,43,86.44,5,無,750,0.900735908
南屯區,25,123.06,5,有,660,0.413225507
大里區,26,115.47,6,無,436,0.99793835
太平區,7,164.74,7,有,906,0.254736248
神岡區,2,283.82,13,無,2380,0.046111481
北區,13,106.22,3,有,620,0.513862779
北屯區,0,109.88,5,有,647,0.593244034
西區,23,32.26,3,無,190,0.627555496
北屯區,0,133.77,6,有,727,0.269145072
清水區,0,153.26,7,有,575,0.630535753
南屯區,0,101.3,6,無,638,0.850031629
太平區,1,163.93,6,有,980,0.264268612
西屯區,27,160.12,7,有,1110,0.571885441
大里區,0,153.76,7,有,765,0.408567457
東區,21,137.33,7,無,560,0.678054563
北屯區,4,147.36,7,有,810,0.823810417
太平區,2,218.84,13,有,2000,0.131358685
北屯區,0,174.16,7,有,1310,0.556052338
大雅區,26,157.83,8,無,580,0.190485368
大里區,0,103.03,4,有,658,0.23379516
豐原區,0,59.62,5,無,400,0.457515803
北屯區,9,141.01,7,有,865,0.281415386
豐原區,6,178.56,10,無,1300,0.076673443
北屯區,35,183.27,11,無,2100,0.928823526
大里區,0,123.65,5,有,726,0.899497096
北屯區,0,135.22,6,有,712,0.818654477
大甲區,30,190.89,9,無,880,0.349092466
西屯區,0,121.62,5,有,910,0.188068273
南屯區,0,137.62,6,有,780,0.559624118
大里區,0,116.26,5,有,596,0.078201153
清水區,0,183.24,10,無,798,0.811480907
東區,30,114.48,7,無,435,0.793483542
西區,42,98.86,6,無,570,0.433923659
北屯區,6,260.64,8,有,1520,0.794101038
南屯區,3,130.57,4,有,907,0.276482976
清水區,0,61.57,3,無,330,0.185572658
南屯區,10,213.71,8,有,1550,0.691621013
北屯區,1,174.47,7,有,1319,0.234495954
南屯區,8,333.59,8,有,2588,0.037689669
太平區,30,150.64,7,有,529,0.244800024
外埔區,41,127.79,7,無,205,0.109551593
北屯區,3,233.9,7,有,1470,0.227204113
